Shorthand, Lecture
prolog, Propädeutikum für Informatik
akmath, Angleichungskurs Mathematik für INF und WINF
orientierung, Orientierung Informatik und Wirtschaftsinformatik
adm, Algebra und Diskrete Mathematik für Informatik und Wirtschaftsinformatik
ana, Analysis für Informatik und Wirtschaftsinformatik
ep1, Einführung in die Programmierung 1
dwi, Denkweisen der Informatik
tgi, Technische Grundlagen der Informatik
gr-buf, Grundlagen der Betriebs
gr-org, Grundlagen der Organisation
klr, Kosten
rw, Rechnungswesen
fmod, Formale Modellierung
omod, Objektorientierte Modellierung
algodat, Algorithmen und Datenstrukturen
ep2, Einführung in die Programmierung 2
progpar, Programmierparadigmen
